id,description,step_num,recipe_id
1,"Подготовить баночку, все ингредиенты смешать, аккуратно выложить, ягоды при желании оставить верхним слоем.",1,1
2,Поставить овсянку на ночь в холодильник.,2,1
3,"Геркулес выложить в чашу мультиварки, залить молоком.",1,2
4,"Добавить сливочное масло, соль, сахар и тщательно перемешать.",2,2
5,"Варить по программе ""молочная каша"" 30 минут.",3,2
6,Овощи нарезать небольшими кубиками.,1,3
7,На сковороде без масла (добавить немного воды) овощи тушить в течение 10 минут.,2,3
8,"Яйца взбить со сливками, солью, влить получившуюся массу в сковороду, готовить в течение 5 минут, постоянно помешивая.",3,3
9,Овощи нарезать мелким кубиком.,1,4
10,"На разогретую сковороду добавить масло, обжарить овощи на медленном огне 7-10 минут",2,4
11,"Добавить к ним томаты в собственном соку, специи.",3,4
12,"Через 3-5 минут разбить в сковородку яйца, накрыть крышкой, томить ещё около 3 минут.",4,4
13,"Снять с огня, добавить петрушку.",5,4
14,"Орехи, курагу порезать на небольшие кусочки.",1,5
15,"Смешать хлопья, орехи, курагу, мед и масло.",2,5
16,"Выложить смесь на противень, равномерно распределив, запекать в предварительно разогретой до 160 градусов духовке 30 минут. Каждый 7-8 минут перемешивать гранолу.",3,5
17,"Готовую гранолу остудить, смешать с йогуртом, по желанию добавить ягоды для украшения.",4,5
18,"Яблоки очистить, нарезать средними кубиками.",1,6
19,"Крупу выложить в чашу мультиварки, залить молоком, добавить яблоки, соль и сахар по вкусу.",2,6
20,"Установить программу ""молочная каша"", варить 30 минут.",3,6
21,"Выложить в тарелку, добавить масло.",4,6
22,"Половину луковицы и петрушку измельчить, смешать с остальными ингредиентами.",1,7
23,Сформировать котлетки.,2,7
24,Готовить на пару 15-20 минут,3,7
25,"Половину луковицы и моркови измельчить, пассеровать на  растительном масле до мягкости.",1,8
26,"Перец нарезать, вместе с горошеом добавить к остальным овощам, пассеровать ещё 5 минут",2,8
27,"Добавить к овощам булгур и перемешать, соль, перец - по вкусу.",3,8
28,"Влить воду в получившуюся смесь, из расчёта 2:1, варить 15-20 минут на медленном огне под крышкой.",4,8
29,"Нарезать баклажаны, лук, помидоры кольцами.",5,8
30,"В подготовленную форму для, запекания выложить ингредиенты в следующем порядке: баклажаны, фарш, томатная паста, лук, фарш, помидоры. Сверху посыпать специями по вкусу",6,8
31,Запекать 30 минут при температуре 180°С,7,8
32,"Отварить рис до полуготовности: залить рис водой из расчёта 1:1, довести до кипения, варить 5 минут до впитывания воды.",1,9
33,"Перцы очистить от сердцевины, промыть.",2,9
34,"Фарш смешать с рисом, нафаршировать перцы.",3,9
35,"Мелко нарезать лук, морковь, чеснок, обжарить на масле до смягчения.",4,9
36,"Фаршированные перцы разместить в кастрюле, добавить 100 мл воды, сверху выложить овощную зажарку.",5,9
37,"Поставить на огонь, довести до кипения, далее томить на медленном огне под крышкой 40 минут.",6,9
38,"Целую курицу обмыть, обсушишь бумажными салфетками.",1,10
39,"На противень выложить 1кг соли, сверху поместить курицу спинкой вниз.",2,10
40,Отправить в предварительно разогретую до 180°С духовку на 50-60 минут.,3,10
41,"Все овощи мелко нарезать, тушить до готовности в течение 20-25 минут на слабом огне, подсолить по вкусу.",4,10
42,"Картофель очистить, отварить до готовности, подсолить по вкусу.",5,10
43,"Курицу тщательно промойте, положите в кастрюлю и залейте водой, 1,5 литра. Доведите до кипения, снимите пенку и варите на медленном огне 35–40 минут.",1,11
44,"Нарежьте лук, морковь натрите на терке, затем общую массу обжарьте на сковороде на оливкам масле до нежно золотистого цвета. Добавьте соль и перец.",2,11
45,"Выньте готовую курицу из бульона. И добавьте в бульон брокколи, картофель (нарежете картофель кубиками или брусочками, брокколи разрежьте на несколько частей), обжаренную смесь из лука и моркови. Варите овощи 15 минут.",3,11
46,"Курицу нарежьте кубиками. Как овощи приготовились, перелейте суп в блендер. После приготовленную смесь перелейте в кастрюлю и поставьте на медленный огонь, добавьте сливки и помешивайте суп 5–7 минут.",4,11
47,"Замороженный/свежий палтус выложить на сковороду, готовить на среднем огне 5 минут, далее добавить сливки, прованские травы по вкусу. Далее убавить огонь, готовить ещё минут 7-10.",1,12
48,"Булгур промыть,поместить  в кастрюлю,залить горячей водой, оставить на 30 минут.",2,12
49,"Воду слить, добавить новую воду из расчета 1:1,5, довести до кипения, варить на слабом огне 15-20 минут.",3,12
50,"В конце варки соус от рыбы соединить с булгуром, оставить пропитаться минут на 5, можно подавать к столу.",4,12
51,"Запеките свеклу в фольге до готовности, проверяя ее шпажкой.",1,13
52,"Пока свекла запекается, приготовьте маринад: горчицу, оливковое масло и бальзамический уксус нужно перемешать с солью и черным молотым перцем до состояния эмульсии.",2,13
53,"Слегка остывшую свеклу очистите и нарежьте дольками, перемешайте с маринадом и отложите до полного остывания",3,13
54,Смешайте зелень с нарезанной кубиками фетой и дольками маринованной свеклы. Сверху полить остатками маринада.,4,13
55,"Фарш с мелко нарезанным луком прожарить, поперчить, посолить, добавить нарезанный мелкими кубиками болгарский перец и майоран, подержать на огне еще минут 5.",1,14
56,"Тем временем, зрелый большой или средний кабачок очистить от кожуры, нарезать колесиками по 1–1,5 см и вырезать сердцевину",2,14
57,"Противень смазать подсолнечным маслом, выложить колесики, наполнить их до краев смесью из фарша, лука и перца, сверху посыпать тертым сыром",3,14
58,"Запекать при температуре  160°С до готовности, минут 25–30 (сверху должна образоваться сырная корочка).",4,14
59,Нарезать на мелкие части все ингредиенты,1,15
60,"Обжарить лук, добавить шампиньоны, жарить, пока не выкипит вода из грибов.",2,15
61,"Добавить нарезанное филе курицы, обжарить все вместе на среднем огне. В это время отварить макароны согласно инструкции на упаковке.",3,15
62,"Добавить сметану, перемешать, убавить огонь, добавить муку, в конце добавить нарезанный базилик.",4,15
63,Рис отварить до полуготовности (воду добавлять из расчета 1:2).,1,16
64,"Куриное филе порезать на мелкие кубики (стороной 1–2 см), обжарить до готовности на большой разогретой сковороде или в сотейнике с  каплей растительного масла (это будет основная сковорода, в ней будет доходить до готовности все блюдо)",2,16
65,"Продолжая жарить курицу, лук нарезать на мелкие кубики, чеснок мелко порубить или выдавить. Лук и чеснок вместе обжарить на разогретой сковороде с растительным маслом до золотистого цвета, добавить к курице.",3,16
66,"Перец порубить на мелкие кубики, томаты разрезать на 4 части каждый, обжарить на другой сковороде с добавлением томатной пасты, добавить в основную сковороду.",4,16
67,"Шампиньоны мелко нарезать, обжарить на любом масле до золотистого цвета.",5,16
68,"Все соединить (включая рис), добавить соль, перец, прованские травы по вкусу",6,16
69,Томить под крышкой ещё 5-7 минут.,7,16
70,"Помидоры, огурцы и редис крупно нарезать и перемешать. Перец обжарить со всех сторон на гриле или газовой конфорке, пока не почернеет кожица. Поместить в пластиковый пакет, завязать горловину и дать остыть. После чего перец очистить, удалить сердцевину. Мякоть нарезать полосками длиной примерно 3 см.",1,17
71,"Салат помыть, разобрать на листья и крупно нарвать руками.",2,17
72,"В кастрюле вскипятить воду, добавить уксус. Одно яйцо вылить в чашку. Ложкой закрутить воду в воронку и быстро влить яйцо. Варить 2 мин. Шумовкой переложить на тарелку. Так же отварить оставшиеся яйца.",3,17
73,"В большой миске смешать салатные листья с редисом, кусочками перца. Приправить солью, перцем, сметаной. Хорошо перемешать и разложить по порционным тарелкам. Сверху выложить яйца пашот. Украсить семечками по желанию.",4,17
74,Помидор мелко нарезать. Яйца взбить силкой с щепоткой соли.,1,18
75,"На разогретой сковороде растопить 10г сливочного масла, добавить помидор, через 3-4 минуты влить яичную смесь.",2,18
76,"Обжаривать, постоянно помешивая 4-5 минут.",3,18
77,Готовое блюдо посыпать крупо нарезанной петрушкой. Подавать с цельнозерновым хлебом.,4,18
78,"Творог (желательно в пачках, либо незернистый), яйцо и сахар перемешать до однородной массы.",1,19
79,Смочить руки в воде и сформировать сырники. Обвалять в небольшом количестве муки. На 10 минут отправить в морозильную камеру.,2,19
80,На разогретой сковороде с добавлением небольшого колическтва масла жарить сырники с двух сторон по 3-5 минут.,3,19